,region,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,isСomplete,house_material,balcony,passenger_elevator,is_apartments,is_auction,locate,is_metro,m_minute,m_type
61,msk,300546518,221.0,44.2,110.5,6,6,18,0,monolithBrick,0,0,0,1,Евро,1,10,walk
62,msk,66500400,60.4,12.08,30.2,2,65,66,1,monolithBrick,0,0,1,0,Евро,1,10,walk
63,msk,380000000,256.5,51.300000000000004,128.25,6,8,9,0,brick,0,0,0,1,Евро,1,10,walk
64,msk,20286000,41.4,19.4,13.1,2,25,34,0,monolith,0,2,0,0,Евро,1,10,walk
65,msk,146715789,121.2,24.240000000000002,60.6,2,8,8,1,monolith,0,2,0,0,Евро,1,10,walk
66,msk,190000000,170.0,13.0,108.5,3,4,6,0,monolithBrick,0,1,0,1,Евро,1,10,walk
67,msk,180000000,75.0,10.0,43.3,2,5,7,0,monolith,0,4,0,0,Евро,1,10,walk
68,msk,407981699,215.0,70.0,107.5,4,3,7,0,monolith,0,0,0,1,Евро,1,10,walk
69,msk,25607892,55.16,15.4,23.2,2,42,54,0,monolith,0,1,0,0,Евро,1,10,walk
70,msk,234045501,172.1,69.4,40.2,3,4,6,0,monolithBrick,0,1,0,1,Евро,1,10,walk
71,msk,25230400,41.6,8.32,20.8,2,23,42,1,monolith,0,4,0,0,Евро,1,10,walk
72,msk,160000000,155.0,20.0,120.0,4,6,7,1,brick,2,1,0,1,Евро,1,10,walk
73,msk,30955670,71.81,14.362000000000002,35.905,2,2,17,0,monolith,0,1,0,0,Евро,1,10,walk
